Y
7257.09
8156.717
7714.38
8337.537
8512.363
8628.187
7937.79
8668.937
7765.267
7580.407
9310.927
8144.65
8285.603
7757.467
8962.79
8274.477
7703.5
8019.933
8312.303
8154.74
7369.487
6618.873
8354.73
8083.973
7337.92
7623.683
8110.483
8718.87
8593.58
8534.423
7692.563
7749.97
9262.94
8189.417
8432.273
7656.66
8393.997
8495.17
7366.54
7502.177
8113.523
8304.193
8710.467
7259.447
8855.343
8890.033
9874.653
7928.48
7754.01
8182.06
