Name,Author,Rating,Reviews,Type,Price(USD),Year
First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter,4.7,14084,Paperback,9.47,2020
The Mamba Mentality: How I Play,Kobe Bryant,4.9,12799,Hardcover,11.5,2020
"School Zone - Multiplication 0-12 Flash Cards - Ages 8+, 3rd Grade, 4th Grade, Elementary Math, Multiplication Facts, Common Core, and More",School Zone,4.7,13963,Cards,2.25,2020
There's No Place Like Space: All About Our Solar System (Cat in the Hat's Learning Library),Tish Rabe,4.8,12683,Hardcover,0.94,2020
Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump,Michael Cohen,4.6,22452,Hardcover,10,2020
"My First Toddler Coloring Book: Fun with Numbers, Letters, Shapes, Colors, and Animals! (Kids coloring activity books)",Tanya Emelyanova,4.8,9586,Paperback,0.93,2020
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7,43137,Paperback,3.21,2020
To Kill a Mockingbird,Harper Lee,4.8,36339,Paperback,2,2020
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.9,15654,Paperback,14.31,2020
Magnolia Table,Joanna Gaines,4.8,14894,Hardcover,11.79,2020
Llama Llama Loves Camping,Anna Dewdney,4.7,11630,Paperback,1.01,2020
So You Want to Talk About Race,Ijeoma Oluo,4.7,8772,Paperback,5.19,2020
Blackout: How Black America Can Make Its Second Escape from the Democrat Plantation,Candace Owens,4.9,11996,Hardcover,16.15,2020
How to Draw 101 Animals (1),Dan Green,4.7,11371,Paperback,0.9,2020
Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work (Awesome STEAM Activities for Kids),Crystal Chatterton,4.7,8222,Paperback,3.83,2020
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),Dinah Bucholz,4.7,15309,Hardcover,3.02,2020
A Time for Mercy (Jake Brigance),John Grisham,4.6,29168,Hardcover,16.79,2020
"Oh, the Places You'll Go!",Dr. Seuss,4.9,17081,Hardcover,0.35,2020
Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,16173,Paperback,15.86,2020
Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8),Dav Pilkey,4.9,18076,Hardcover,1.99,2020
The Pout-Pout Fish,Deborah Diesen,4.9,14325,Board book,0.35,2020
Where's Spot?,Eric Hill,4.8,14706,Board book,1.22,2020
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,11459,Hardcover,14.91,2020
Man's Search for Meaning,Viktor E. Frankl,4.7,23921,Paperback,5.85,2020
Ready Player Two: A Novel,Ernest Cline,4.2,11203,Hardcover,17.39,2020
"Preschool Math Workbook for Toddlers Ages 2-4: Beginner Math Preschool Learning Book with Number Tracing and Matching Activities for 2, 3 and 4 year olds and kindergarten prep",Modern Kid Press,4.7,10564,Paperback,1.44,2020
Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),Ibram X. Kendi,4.8,8206,Paperback,7.75,2020
Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life (Zen as F*ck Journals),Monica Sweeney,4.7,10740,Paperback,9.98,2020
The Intelligent Investor: The Definitive Book on Value Investing. A Book of Practical Counsel (Revised Edition),Benjamin Graham,4.7,15957,Paperback,14.75,2020
The Wonderful Things You Will Be,Emily Winfield Martin,4.9,12417,Hardcover,1.84,2020
"Carson Dellosa First Words Flash Cards—Double-Sided, Common Words With Illustrations, Basic Animals, Food, Objects, Phonics and Reading Readiness Practice Set (54 pc)",Brighter Child,4.8,26959,Cards,2.25,2020
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.6,38397,Hardcover,5.88,2020
Love You Forever,Robert Munsch,4.9,27107,Paperback,0.25,2020
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Mary Pope Osborne,4.8,8705,Paperback,3.99,2020
Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,4.7,14449,Paperback,2.92,2020
